SR:0.300000, AS:252.200000, SPL:0.024097, AR:0.073896
0c9a666391cc08db7d6ca1a926183a76 tv_stand 26 -4 1
0c9a666391cc08db7d6ca1a926183a76 toilet 27 -11 1
0c9a666391cc08db7d6ca1a926183a76 tv_stand 14 -10 2
0c9a666391cc08db7d6ca1a926183a76 sofa 28 -5 3
0c9a666391cc08db7d6ca1a926183a76 television 18 -10 0
0c9a666391cc08db7d6ca1a926183a76 tv_stand 24 -2 0
0c9a666391cc08db7d6ca1a926183a76 sofa 14 -11 2
0c9a666391cc08db7d6ca1a926183a76 sofa 27 -13 0
0c9a666391cc08db7d6ca1a926183a76 television 28 -7 1
0c9a666391cc08db7d6ca1a926183a76 bed 14 -9 3
0c9a666391cc08db7d6ca1a926183a76 toilet 14 -9 2
0c9a666391cc08db7d6ca1a926183a76 television 15 -8 3
0c9a666391cc08db7d6ca1a926183a76 toilet 28 -6 1
0c9a666391cc08db7d6ca1a926183a76 sofa 12 -6 1
0c9a666391cc08db7d6ca1a926183a76 television 29 -4 2
0c9a666391cc08db7d6ca1a926183a76 sofa 27 -4 1
0c9a666391cc08db7d6ca1a926183a76 tv_stand 27 -6 0
0c9a666391cc08db7d6ca1a926183a76 sofa 24 1 3
0c9a666391cc08db7d6ca1a926183a76 sofa 10 -2 2
0c9a666391cc08db7d6ca1a926183a76 sofa 12 -6 2
0c9a666391cc08db7d6ca1a926183a76 television 23 -2 2
0c9a666391cc08db7d6ca1a926183a76 television 27 0 2
0c9a666391cc08db7d6ca1a926183a76 television 20 -5 0
0c9a666391cc08db7d6ca1a926183a76 bathtub 14 -5 3
0c9a666391cc08db7d6ca1a926183a76 tv_stand 8 -9 1
0c9a666391cc08db7d6ca1a926183a76 tv_stand 3 -1 2
0c9a666391cc08db7d6ca1a926183a76 television 0 1 1
0c9a666391cc08db7d6ca1a926183a76 bed 18 -13 0
0c9a666391cc08db7d6ca1a926183a76 bathtub 12 -7 1
0c9a666391cc08db7d6ca1a926183a76 bathtub 13 -5 1
0c9a666391cc08db7d6ca1a926183a76 toilet 14 -11 0
0c9a666391cc08db7d6ca1a926183a76 bed 29 -1 1
0c9a666391cc08db7d6ca1a926183a76 sofa 24 -3 2
0c9a666391cc08db7d6ca1a926183a76 bathtub 19 -14 3
0c9a666391cc08db7d6ca1a926183a76 bathtub 11 1 2
0c9a666391cc08db7d6ca1a926183a76 bathtub 12 -3 2
0c9a666391cc08db7d6ca1a926183a76 toilet 10 1 3
0c9a666391cc08db7d6ca1a926183a76 tv_stand 21 -11 3
0c9a666391cc08db7d6ca1a926183a76 sofa 23 -3 0
0c9a666391cc08db7d6ca1a926183a76 television 7 -1 1
0c9a666391cc08db7d6ca1a926183a76 bathtub 16 1 1
0c9a666391cc08db7d6ca1a926183a76 tv_stand 17 -13 0
0c9a666391cc08db7d6ca1a926183a76 bed 27 -11 1
0c9a666391cc08db7d6ca1a926183a76 bed 10 -4 0
0c9a666391cc08db7d6ca1a926183a76 television 24 0 2
0c9a666391cc08db7d6ca1a926183a76 television 26 -4 1
0c9a666391cc08db7d6ca1a926183a76 sofa 7 -1 2
0c9a666391cc08db7d6ca1a926183a76 sofa 11 1 3
0c9a666391cc08db7d6ca1a926183a76 bed 3 -4 1
0c9a666391cc08db7d6ca1a926183a76 bed 28 -13 3
0c9a666391cc08db7d6ca1a926183a76 bathtub 7 1 3
0c9a666391cc08db7d6ca1a926183a76 bed 28 -14 1
0c9a666391cc08db7d6ca1a926183a76 sofa 27 -7 3
0c9a666391cc08db7d6ca1a926183a76 bed 19 -5 2
0c9a666391cc08db7d6ca1a926183a76 toilet 29 -3 1
0c9a666391cc08db7d6ca1a926183a76 tv_stand 22 -3 0
0c9a666391cc08db7d6ca1a926183a76 bathtub 26 -4 2
0c9a666391cc08db7d6ca1a926183a76 tv_stand 19 -10 1
0c9a666391cc08db7d6ca1a926183a76 tv_stand 28 -2 1
0c9a666391cc08db7d6ca1a926183a76 bathtub 13 -9 1
0c9a666391cc08db7d6ca1a926183a76 sofa 0 -1 3
0c9a666391cc08db7d6ca1a926183a76 toilet 20 -12 2
0c9a666391cc08db7d6ca1a926183a76 bed 19 -10 0
0c9a666391cc08db7d6ca1a926183a76 sofa 5 -1 0
0c9a666391cc08db7d6ca1a926183a76 bed 20 -14 1
0c9a666391cc08db7d6ca1a926183a76 toilet 28 -3 3
0c9a666391cc08db7d6ca1a926183a76 sofa 1 0 0
0c9a666391cc08db7d6ca1a926183a76 tv_stand 0 1 2
0c9a666391cc08db7d6ca1a926183a76 sofa 21 -14 2
0c9a666391cc08db7d6ca1a926183a76 bathtub 29 -3 3
0c9a666391cc08db7d6ca1a926183a76 toilet 27 1 2
0c9a666391cc08db7d6ca1a926183a76 bathtub 17 -7 3
0c9a666391cc08db7d6ca1a926183a76 sofa 9 -4 3
0c9a666391cc08db7d6ca1a926183a76 toilet 27 -14 3
0c9a666391cc08db7d6ca1a926183a76 tv_stand 23 -10 3
0c9a666391cc08db7d6ca1a926183a76 toilet 22 -9 3
0c9a666391cc08db7d6ca1a926183a76 bed 19 -14 1
0c9a666391cc08db7d6ca1a926183a76 tv_stand 18 1 0
0c9a666391cc08db7d6ca1a926183a76 bed 23 -1 2
0c9a666391cc08db7d6ca1a926183a76 toilet 6 1 0
0c9a666391cc08db7d6ca1a926183a76 toilet 21 -10 3
0c9a666391cc08db7d6ca1a926183a76 bed 29 -5 3
0c9a666391cc08db7d6ca1a926183a76 sofa 24 -1 3
0c9a666391cc08db7d6ca1a926183a76 toilet 10 1 2
0c9a666391cc08db7d6ca1a926183a76 television 28 -9 2
0c9a666391cc08db7d6ca1a926183a76 bathtub 11 -9 1
0c9a666391cc08db7d6ca1a926183a76 tv_stand 19 -13 0
0c9a666391cc08db7d6ca1a926183a76 tv_stand 4 -1 0
0c9a666391cc08db7d6ca1a926183a76 tv_stand 24 -3 2
0c9a666391cc08db7d6ca1a926183a76 bed 22 1 1
