SR:0.180000, AS:170.333333, SPL:0.019814, AR:0.069530
00d9be7210856e638fa3b1addf2237d6 stand -7 -12 0
00d9be7210856e638fa3b1addf2237d6 music -3 -2 2
00d9be7210856e638fa3b1addf2237d6 music -4 -4 3
00d9be7210856e638fa3b1addf2237d6 tv_stand -1 -9 3
00d9be7210856e638fa3b1addf2237d6 television -1 -11 0
00d9be7210856e638fa3b1addf2237d6 sofa -3 -7 1
00d9be7210856e638fa3b1addf2237d6 television -5 2 0
00d9be7210856e638fa3b1addf2237d6 stand 10 2 1
00d9be7210856e638fa3b1addf2237d6 dressing_table 9 1 0
00d9be7210856e638fa3b1addf2237d6 tv_stand 3 -21 0
00d9be7210856e638fa3b1addf2237d6 television -5 -3 2
00d9be7210856e638fa3b1addf2237d6 television 7 1 3
00d9be7210856e638fa3b1addf2237d6 music 8 -12 2
00d9be7210856e638fa3b1addf2237d6 dressing_table 1 5 0
00d9be7210856e638fa3b1addf2237d6 television -2 -5 3
00d9be7210856e638fa3b1addf2237d6 sofa -3 -3 3
00d9be7210856e638fa3b1addf2237d6 music -1 -9 3
00d9be7210856e638fa3b1addf2237d6 television -6 -18 1
00d9be7210856e638fa3b1addf2237d6 tv_stand -4 -5 2
00d9be7210856e638fa3b1addf2237d6 dressing_table -5 2 3
00d9be7210856e638fa3b1addf2237d6 dressing_table -2 -8 2
00d9be7210856e638fa3b1addf2237d6 music 0 -6 2
00d9be7210856e638fa3b1addf2237d6 music -6 -21 1
00d9be7210856e638fa3b1addf2237d6 sofa -7 -14 3
00d9be7210856e638fa3b1addf2237d6 music -6 6 1
00d9be7210856e638fa3b1addf2237d6 music -8 -18 0
00d9be7210856e638fa3b1addf2237d6 stand 1 4 2
00d9be7210856e638fa3b1addf2237d6 dressing_table -5 -8 3
00d9be7210856e638fa3b1addf2237d6 sofa 7 -21 2
00d9be7210856e638fa3b1addf2237d6 music -8 -6 1
00d9be7210856e638fa3b1addf2237d6 stand -3 -17 1
00d9be7210856e638fa3b1addf2237d6 sofa -6 -7 1
00d9be7210856e638fa3b1addf2237d6 tv_stand 3 -8 1
00d9be7210856e638fa3b1addf2237d6 television -8 -19 3
00d9be7210856e638fa3b1addf2237d6 television -6 2 1
00d9be7210856e638fa3b1addf2237d6 tv_stand 9 0 1
00d9be7210856e638fa3b1addf2237d6 stand 8 6 3
00d9be7210856e638fa3b1addf2237d6 music -1 -9 3
00d9be7210856e638fa3b1addf2237d6 dressing_table 6 2 3
00d9be7210856e638fa3b1addf2237d6 tv_stand 7 3 1
00d9be7210856e638fa3b1addf2237d6 dressing_table -4 -12 3
00d9be7210856e638fa3b1addf2237d6 dressing_table -1 -5 0
00d9be7210856e638fa3b1addf2237d6 tv_stand -6 -6 1
00d9be7210856e638fa3b1addf2237d6 television 5 -8 1
00d9be7210856e638fa3b1addf2237d6 stand -7 -17 3
00d9be7210856e638fa3b1addf2237d6 music 7 7 1
00d9be7210856e638fa3b1addf2237d6 stand 2 -12 1
00d9be7210856e638fa3b1addf2237d6 sofa 4 -8 3
00d9be7210856e638fa3b1addf2237d6 tv_stand 0 -8 3
00d9be7210856e638fa3b1addf2237d6 dressing_table -7 -2 3
00d9be7210856e638fa3b1addf2237d6 tv_stand 3 -12 0
00d9be7210856e638fa3b1addf2237d6 dressing_table 0 1 0
00d9be7210856e638fa3b1addf2237d6 tv_stand -1 -5 1
00d9be7210856e638fa3b1addf2237d6 sofa -3 7 3
00d9be7210856e638fa3b1addf2237d6 music -5 -7 0
00d9be7210856e638fa3b1addf2237d6 sofa 0 -9 2
00d9be7210856e638fa3b1addf2237d6 sofa 12 -8 3
00d9be7210856e638fa3b1addf2237d6 tv_stand 6 -12 3
00d9be7210856e638fa3b1addf2237d6 sofa 0 2 2
00d9be7210856e638fa3b1addf2237d6 television 8 5 2
00d9be7210856e638fa3b1addf2237d6 music -8 -12 1
00d9be7210856e638fa3b1addf2237d6 television -2 5 2
00d9be7210856e638fa3b1addf2237d6 tv_stand -7 -20 3
00d9be7210856e638fa3b1addf2237d6 dressing_table -1 -8 0
00d9be7210856e638fa3b1addf2237d6 stand -8 -9 1
00d9be7210856e638fa3b1addf2237d6 stand -4 -6 0
00d9be7210856e638fa3b1addf2237d6 sofa -3 -16 1
00d9be7210856e638fa3b1addf2237d6 television -4 -2 0
00d9be7210856e638fa3b1addf2237d6 sofa -1 -5 1
00d9be7210856e638fa3b1addf2237d6 dressing_table -3 -3 3
00d9be7210856e638fa3b1addf2237d6 sofa 5 6 3
00d9be7210856e638fa3b1addf2237d6 stand 4 4 2
00d9be7210856e638fa3b1addf2237d6 television 1 6 3
00d9be7210856e638fa3b1addf2237d6 stand -6 7 1
00d9be7210856e638fa3b1addf2237d6 tv_stand 10 -12 1
00d9be7210856e638fa3b1addf2237d6 tv_stand -8 -18 2
00d9be7210856e638fa3b1addf2237d6 dressing_table 0 0 3
00d9be7210856e638fa3b1addf2237d6 tv_stand -8 -10 2
00d9be7210856e638fa3b1addf2237d6 dressing_table 3 -13 0
00d9be7210856e638fa3b1addf2237d6 dressing_table 4 -8 2
00d9be7210856e638fa3b1addf2237d6 music -4 -7 2
00d9be7210856e638fa3b1addf2237d6 tv_stand -8 -4 1
00d9be7210856e638fa3b1addf2237d6 music -7 -15 0
00d9be7210856e638fa3b1addf2237d6 television -4 -17 2
00d9be7210856e638fa3b1addf2237d6 tv_stand -3 -3 3
00d9be7210856e638fa3b1addf2237d6 dressing_table -7 -5 0
00d9be7210856e638fa3b1addf2237d6 stand -1 4 0
00d9be7210856e638fa3b1addf2237d6 dressing_table -7 -8 2
00d9be7210856e638fa3b1addf2237d6 stand -7 -13 2
00d9be7210856e638fa3b1addf2237d6 tv_stand -7 -5 2
00d9be7210856e638fa3b1addf2237d6 tv_stand -4 -13 1
00d9be7210856e638fa3b1addf2237d6 television 11 2 3
00d9be7210856e638fa3b1addf2237d6 dressing_table -8 -9 1
00d9be7210856e638fa3b1addf2237d6 dressing_table -5 -5 0
00d9be7210856e638fa3b1addf2237d6 sofa 2 3 3
00d9be7210856e638fa3b1addf2237d6 dressing_table 6 5 1
00d9be7210856e638fa3b1addf2237d6 dressing_table -3 -13 1
00d9be7210856e638fa3b1addf2237d6 tv_stand -3 -2 1
00d9be7210856e638fa3b1addf2237d6 stand -8 0 2
00d9be7210856e638fa3b1addf2237d6 stand -5 -17 1
